subject,predicate,object
Map of Salem Village,has title,Map of Salem Village 1692
Map of Salem Village,has creator,Upham William Phineas
Map of Salem Village,has type,map
Map of Salem Village,has date of production,1866
Map of Salem Village,has held by,Boston Public Library
Map of Salem Village,is part of,Norman B. Leventhal Map & Education Center Collection
Map of Salem Village,has format,digital facsimile
Map of Salem Village,has dimensions,11 x 17 cm
Map of Salem Village,has language,English
Map of Salem Village,has place of depiction,Salem
