subject,predicate,object
Salem TV Series,has title,Salem
Salem TV Series,has author,Brannons Braga
Salem TV Series,has author,Adam Simon
Salem TV Series,has type,TV Series
Salem TV Series,has date of release,2014-04-20
Salem TV Series,has place of production,Louisiana (USA)
Salem TV Series,has production company,"Beetlecod Productions, Prospect Park, Fox 21"
Salem TV Series,is provided by,IMDb
Salem TV Series,has language,English
Salem TV Series,has number of seasons,3
Salem TV Series,has genre,"horror, drama, thriller"
Salem TV Series,has actor,Seth Gabel
Salem TV Series,has subject,Salem Witch Trials
Salem TV Series,has content location,Salem
