subject,predicate,object
Playbill: The Crucible,has title,The Crucible
Playbill: The Crucible,has author,Arthur Miller
Playbill: The Crucible,has type,poster
Playbill: The Crucible,has date of production,1953
Playbill: The Crucible,has place of production,New York (USA)
Playbill: The Crucible,is held by,National Museum of American History
Playbill: The Crucible,has material,paper
Playbill: The Crucible,has material,ink
Playbill: The Crucible,has measurement,9 in x 6 5/8 in
Playbill: The Crucible,has subject,Salem Witch Trials
Playbill: The Crucible,has subject,Theater
