subject,predicate,object
Execution of Bridget Bishop,has title,"Execution of Bridget Bishop at Salem, 1692"
Execution of Bridget Bishop,has author,Joseph Boggs Beale
Execution of Bridget Bishop,has type,photograph
Execution of Bridget Bishop,has date of production,c. 1885
Execution of Bridget Bishop,is held by,George Eastman Museum
Execution of Bridget Bishop,is part of,American History: 1607-92
Execution of Bridget Bishop,has format,collodion silver transparency
Execution of Bridget Bishop,has dimension,8.3 × 10.2 cm
Execution of Bridget Bishop,has subject,Bridget Bishop
Execution of Bridget Bishop,has subject,Salem Witch Trials
Execution of Bridget Bishop,depicts,execution of Bridget Bishop
