object,entity
Martin Van Buren Perley,viaf:94991968
book,wd:Q571
Salem,place/salem
State Library of Massachusetts,wd:Q7603401
print,wd:Q11060274
English,wd:Q1860
Bridget Bishop,person/bridget_bishop
Elizabeth Jackson Howe,person/elizabeth_howe
William Stoughton,wd:Q3568979
Cotton Mather,wd:Q380719
Massachusetts. Court of Oyer and Terminer (Essex County),wd:Q7116266
trial report,wd:Q2334719
Massachusetts,wd:Q771
Massachusetts Supreme Judicial Court Archives,wd:Q2002625
"Philips Library, Peabody Essex Museum",wd:Q7185913
Tompkins Harrison Matteson,wd:Q3531432
painting,wd:Q3305213
Peabody Essex Museum,wd:Q3373790
oil on canvas,wd:Q115654970
Mary Fisher,wd:Q6779537
Joseph Boggs Beale,wd:Q52150099
transparency,wd:Q487623
George Eastman Museum,wd:Q1507284
Alexander McQueen,wd:Q207939
creative work,wd:Q386724
National Gallery of Victoria,wd:Q1464509
Melbourne,wd:Q3141
"In memory of Elizabeth Howe, Salem 1692 collection, autumn-winter 2007-2008",wd:Q133456206
Italy,wd:Q38
viscose,wd:Q182045
rayon,wd:Q910194
silk,wd:Q37681
plastic,wd:Q11474
Krystyna Campbell-Pretty AM and Family,viaf:25157279880703301940
Upham William Phineas,wd:Q134708539
map,wd:Q4006
Boston Public Library,wd:Q894583
Norman B. Leventhal Map & Education Center Collection,wd:Q7051939
digital facsimile,wd:Q129613939
Brannons Braga,wd:Q540510
Adam Simon,wd:Q4679789
TV Series,wd:Q5398426
Louisiana (USA),wd:Q1588
"Beetlecod Productions, Prospect Park, Fox 21",wd:Q8962119
IMDb,wd:Q37312
"horror, drama, thriller",wd:Q200092
Seth Gabel,wd:Q958227
The Crucible,wd:Q1183443
Arthur Miller,wd:Q80596
poster,wd:Q429785
New York (USA),wd:Q1384
National Museum of American History,wd:Q110453413
paper and ink,wd:Q11472
theatre,wd:Q17172848
image,wd:Q478798
Salem Public Library,wd:Q39069597
jpeg,wd:Q2195
Architecture,wd:Q12271
house,wd:Q3947
Boston,wd:Q100
Benjamin Harris,wd:Q4888774
Library of Congress,wd:Q131454
John Davis Batchelder Collection (Rare Book Collection),wd:Q132754052
Witchcraft,concept/witchcraft
Salem Witch Trials,event/salem_witch_trials
